event_id,well_id,depth_m,formation,event_type,severity,event_description,duration_hours,operational_impact
E0001,W001,2790,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 2790 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,11.9,Significant non-productive time; remedial operations and additional materials required.
E0002,W002,2800,Sandstone,Mud Loss,Critical,Seepage-to-partial mud losses observed while drilling Sandstone at 2800 m; mud weight trimmed and losses monitored.,18.7,Major non-productive time; section objectives affected and specialist intervention required.
E0003,W003,2840,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 2840 m; drilling paused and a lost-circulation-material pill spotted.,12.3,Significant non-productive time; remedial operations and additional materials required.
E0004,W004,2865,Sandstone,Mud Loss,Medium,Partial loss of drilling fluid recorded at 2865 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,6.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0005,W045,3080,Limestone,Kick,Critical,"Influx indication at 3080 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",35.8,Major non-productive time; section objectives affected and specialist intervention required.
E0006,W046,3110,Limestone,Kick,High,"Pressure-related kick detected while drilling Limestone at 3110 m; annular pressure rise recorded, mud weight raised after control.",18.6,Significant non-productive time; remedial operations and additional materials required.
E0007,W047,3150,Limestone,Kick,High,"Influx indication at 3150 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",16.2,Significant non-productive time; remedial operations and additional materials required.
E0008,W089,2205,Shale,Stuck Pipe,High,Differential/mechanical sticking of the string at 2205 m in Shale; hole cleaning improved and pipe recovered.,34.8,Significant non-productive time; remedial operations and additional materials required.
E0009,W090,2245,Shale,Stuck Pipe,Critical,"Pack-off and stuck pipe in Shale at 2245 m; rotation lost, string freed after jarring and lubricant spotting.",50.7,Major non-productive time; section objectives affected and specialist intervention required.
E0010,W091,2285,Shale,Stuck Pipe,Medium,"Pack-off and stuck pipe in Shale at 2285 m; rotation lost, string freed after jarring and lubricant spotting.",12.6,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0011,W069,2420,Limestone,Kick,High,"Influx indication at 2420 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",14.3,Significant non-productive time; remedial operations and additional materials required.
E0012,W070,2460,Limestone,Kick,High,"Unexpected formation influx in Limestone at 2460 m; flow check positive, BOP closed and circulation of kill mud carried out.",17.9,Significant non-productive time; remedial operations and additional materials required.
E0013,W071,2495,Limestone,Kick,Medium,"Unexpected formation influx in Limestone at 2495 m; flow check positive, BOP closed and circulation of kill mud carried out.",7.9,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0014,W111,1760,Shale,Stuck Pipe,Medium,Drill string became stuck at 1760 m within the Shale section; overpull observed and jarring / working of pipe required.,10.9,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0015,W113,1805,Shale,Stuck Pipe,High,Differential/mechanical sticking of the string at 1805 m in Shale; hole cleaning improved and pipe recovered.,30.2,Significant non-productive time; remedial operations and additional materials required.
E0016,W111,2880,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 2880 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,16.2,Significant non-productive time; remedial operations and additional materials required.
E0017,W112,2930,Sandstone,Mud Loss,Medium,Partial loss of drilling fluid recorded at 2930 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,5.9,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0018,W001,1370,Shale,Stuck Pipe,Medium,Drill string became stuck at 1370 m within the Shale section; overpull observed and jarring / working of pipe required.,12.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0019,W001,92,Claystone,Cementing Issue,High,Cement slurry losses while cementing across Claystone at 92 m; top of cement lower than designed.,18.3,Significant non-productive time; remedial operations and additional materials required.
