record_id,well_id,depth_m,mud_weight_ppg,rop_m_per_hr,rpm,wob_klbf
R000001,W001,25,8.97,34.84,143.5,5.35
R000002,W001,50,9.01,33.42,144.8,6.29
R000003,W001,75,9.13,32.35,146.4,6.51
R000004,W001,100,9.16,37.36,150.7,6.12
R000005,W001,125,9.12,37.1,147.1,7.13
R000006,W001,150,9.24,34,148.8,4.69
R000007,W001,175,9.24,31.3,145.4,6.09
R000008,W001,200,9.25,30.07,150.1,6.37
R000009,W001,225,9.34,31.7,139,6.74
R000010,W001,250,9.3,34.92,141.3,7.45
R000011,W001,275,9.36,29.53,140.1,7.35
R000012,W001,300,9.49,36.13,148,7.22
R000013,W001,325,9.39,35.8,142.2,8
R000014,W001,350,9.42,36,141.6,6.69
R000015,W001,375,9.54,35.61,148,7.18
R000016,W001,400,9.54,33.18,147,7.19
R000017,W001,425,9.64,28.29,138.4,7.16
R000018,W001,450,9.58,28.75,136,8.19
R000019,W001,475,9.6,29.01,143,8.13
R000020,W001,500,9.71,29.63,139.9,9.4
R000021,W001,525,9.73,30.02,143.3,10.45
R000022,W001,550,9.72,27.86,142.1,9.31
R000023,W001,575,9.83,29.39,133.5,8.8
R000024,W001,600,9.78,27.71,136.1,10.05
R000025,W001,625,9.85,30.75,143.1,9.71
R000026,W001,650,9.9,31.08,133.2,8.72
R000027,W001,675,9.97,31.14,131.4,9.45
R000028,W001,700,9.92,32.48,142.3,10.16
R000029,W001,725,9.98,29.23,131.2,10.71
R000030,W001,750,10.06,33.99,132.8,10.95
R000031,W001,775,10.09,32.29,139.7,11.3
R000032,W001,800,10.25,18.87,134.3,12.87
R000033,W001,825,10.25,18.59,128.9,12.5
R000034,W001,850,10.33,19.18,137.5,12.71
R000035,W001,875,10.36,18.89,125.3,13.19
R000036,W001,900,10.43,17.19,131.3,15.23
R000037,W001,925,10.35,19.46,136.1,13.86
R000038,W001,950,10.37,17.84,135.6,13.18
R000039,W001,975,10.52,17.84,136.1,14.16
R000040,W001,1000,10.58,18.79,125.3,15.42
R000041,W001,1025,10.52,17.27,130.8,15.21
R000042,W001,1050,10.53,18.05,131.8,15.15
R000043,W001,1075,10.63,18.84,124.7,14.73
R000044,W001,1100,10.62,17.62,121.3,14.85
R000045,W001,1125,10.76,18.4,132.9,15.53
R000046,W001,1150,10.69,17.43,127.3,15.7
R000047,W001,1175,10.7,16.85,131,14.93
R000048,W001,1200,10.79,15.1,128.2,16.54
R000049,W001,1225,10.81,17.16,121.9,15.78
R000050,W001,1250,10.86,16.34,132.4,15.54
R000051,W001,1275,10.93,17.35,127.8,16.18
R000052,W001,1300,11.02,18.17,128.5,17.86
R000053,W001,1325,10.95,15.93,121,15.96
R000054,W001,1350,11.05,14.36,126.1,16.32
R000055,W001,1375,11,14.98,119.4,16.97
R000056,W001,1400,11.16,17.96,125.4,17.9
R000057,W001,1425,11.09,14.32,123.1,17.15
R000058,W001,1450,11.11,15.68,119.6,19.15
R000059,W001,1475,11.21,17.73,117.5,17.94
R000060,W001,1500,11.26,14.95,123.9,17.46
R000061,W001,1525,11.2,17.44,116.8,18.38
R000062,W001,1550,11.24,14.65,125.1,20.27
R000063,W001,1575,11.27,15.6,120.1,18.52
R000064,W001,1600,11.35,16.56,123.8,19.17
R000065,W001,1625,11.35,15.57,128.2,19.16
R000066,W001,1650,11.42,15.99,123.6,20.57
R000067,W001,1675,11.49,15.36,122.1,19.03
R000068,W001,1700,11.48,14.21,120.9,18.87
R000069,W001,1725,11.53,16.82,126.8,18.92
R000070,W001,1750,11.6,15.07,121.7,19.48
R000071,W001,1775,11.56,14.88,123.6,20.18
R000072,W001,1800,11.65,15.25,112.5,22.07
R000073,W001,1825,11.74,13.51,120.4,21.88
R000074,W001,1850,11.65,15.16,120.3,19.8
R000075,W001,1875,11.8,16.17,123,20.89
R000076,W001,1900,11.85,14.82,116.5,21.72
R000077,W001,1925,11.58,16.98,116.4,19.73
R000078,W001,1950,11.69,18.11,126,19.76
R000079,W001,1975,11.67,16.2,118.7,20.42
R000080,W001,2000,11.74,17.29,120.5,22.29
R000081,W001,2025,11.77,16.07,125.4,20.24
R000082,W001,2050,11.81,16,114.3,23.07
R000083,W001,2075,11.82,16.48,116.5,22.68
R000084,W001,2100,11.94,17.69,123.1,23.3
R000085,W001,2125,11.84,18.75,117.3,21.46
R000086,W001,2150,11.9,15.33,119.2,22.21
R000087,W001,2175,12.06,18.03,121.4,22.24
