well_id,formation_name,top_depth_m,bottom_depth_m
W001,Claystone,0,791
W001,Shale,791,1906
W001,Sandstone,1906,3090
W001,Limestone,3090,3470
W002,Claystone,0,785
W002,Shale,785,1880
W002,Sandstone,1880,3083
W002,Limestone,3083,3450
W003,Claystone,0,867
W003,Shale,867,2190
W003,Sandstone,2190,3427
W003,Limestone,3427,3850
W004,Claystone,0,822
W004,Shale,822,2009
W004,Sandstone,2009,3180
W004,Limestone,3180,3590
W005,Claystone,0,782
W005,Shale,782,2008
W005,Sandstone,2008,3176
W005,Limestone,3176,3560
W006,Claystone,0,821
W006,Shale,821,2260
W006,Sandstone,2260,3521
W006,Limestone,3521,3960
W007,Claystone,0,764
W007,Shale,764,1841
W007,Sandstone,1841,3025
W007,Limestone,3025,3400
W008,Claystone,0,838
W008,Shale,838,2020
W008,Sandstone,2020,3271
W008,Limestone,3271,3690
W009,Claystone,0,743
W009,Shale,743,1783
W009,Sandstone,1783,2817
W009,Limestone,2817,3180
W010,Claystone,0,708
W010,Shale,708,1859
W010,Sandstone,1859,2895
W010,Limestone,2895,3260
W011,Claystone,0,756
W011,Shale,756,1993
W011,Sandstone,1993,3213
W011,Limestone,3213,3620
W012,Shale,0,2036
W012,Sandstone,2036,3163
W012,Limestone,3163,3580
W013,Claystone,0,733
W013,Shale,733,1805
W013,Sandstone,1805,2954
W013,Limestone,2954,3320
W014,Claystone,0,792
W014,Shale,792,1864
W014,Sandstone,1864,2995
W014,Limestone,2995,3360
W015,Claystone,0,744
W015,Shale,744,1806
W015,Sandstone,1806,2869
W015,Limestone,2869,3230
W016,Claystone,0,888
W016,Shale,888,2246
W016,Sandstone,2246,3482
W016,Limestone,3482,3930
W017,Shale,0,1736
W017,Sandstone,1736,2851
W017,Limestone,2851,3220
W018,Claystone,0,911
W018,Shale,911,2129
W018,Sandstone,2129,3454
W018,Limestone,3454,3890
W019,Claystone,0,915
W019,Shale,915,2095
W019,Sandstone,2095,3429
W019,Limestone,3429,3840
W020,Claystone,0,741
W020,Shale,741,1957
W020,Sandstone,1957,3100
W020,Limestone,3100,3500
W021,Shale,0,2043
W021,Sandstone,2043,3211
W021,Limestone,3211,3590
W022,Shale,0,2118
W022,Sandstone,2118,3423
W022,Limestone,3423,3850
W023,Claystone,0,851
W023,Shale,851,2112
W023,Sandstone,2112,3463
W023,Limestone,3463,3880
W024,Shale,0,2141
W024,Sandstone,2141,3506
W024,Limestone,3506,3960
W025,Claystone,0,735
W025,Shale,735,1937
W025,Sandstone,1937,3106
W025,Limestone,3106,3500
W026,Shale,0,1873
W026,Sandstone,1873,3040
W026,Limestone,3040,3440
W027,Claystone,0,854
W027,Shale,854,2120
W027,Sandstone,2120,3474
W027,Limestone,3474,3890
W028,Shale,0,1925
W028,Sandstone,1925,3015
W028,Limestone,3015,3400
W029,Claystone,0,801
W029,Shale,801,1877
W029,Sandstone,1877,3009
W029,Limestone,3009,3380
W030,Claystone,0,717
W030,Shale,717,1751
W030,Sandstone,1751,2876
W030,Limestone,2876,3230
W031,Claystone,0,943
W031,Shale,943,2232
W031,Sandstone,2232,3586
W031,Limestone,3586,4020
W032,Claystone,0,823
W032,Shale,823,2138
W032,Sandstone,2138,3367
W032,Limestone,3367,3790
W033,Claystone,0,899
W033,Shale,899,2207
W033,Sandstone,2207,3507
W033,Limestone,3507,3950
W034,Shale,0,1931
W034,Sandstone,1931,3150
W034,Limestone,3150,3560
W035,Shale,0,2149
W035,Sandstone,2149,3411
W035,Limestone,3411,3840
W036,Shale,0,1737
W036,Sandstone,1737,2858
W036,Limestone,2858,3220
W037,Claystone,0,823
W037,Shale,823,1945
W037,Sandstone,1945,3092
W037,Limestone,3092,3480
W038,Claystone,0,708
W038,Shale,708,1827
W038,Sandstone,1827,2893
W038,Limestone,2893,3240
W039,Claystone,0,687
W039,Shale,687,1790
W039,Sandstone,1790,2878
W039,Limestone,2878,3220
W040,Claystone,0,767
W040,Shale,767,1848
W040,Sandstone,1848,2965
W040,Limestone,2965,3320
W041,Claystone,0,743
W041,Shale,743,1893
W041,Sandstone,1893,3007
W041,Limestone,3007,3390
W042,Claystone,0,715
W042,Shale,715,1759
W042,Sandstone,1759,2903
W042,Limestone,2903,3250
W043,Claystone,0,839
W043,Shale,839,2139
W043,Sandstone,2139,3409
W043,Limestone,3409,3850
W044,Claystone,0,677
W044,Shale,677,1787
W044,Sandstone,1787,2933
W044,Limestone,2933,3280
W045,Claystone,0,601
W045,Sandstone,601,1765
W045,Shale,1765,2583
W045,Limestone,2583,3440
W046,Claystone,0,523
W046,Sandstone,523,1643
W046,Shale,1643,2347
W046,Limestone,2347,3160
W047,Claystone,0,649
W047,Sandstone,649,1961
W047,Shale,1961,2817
W047,Limestone,2817,3830
W048,Claystone,0,631
W048,Sandstone,631,1984
W048,Shale,1984,2930
W048,Limestone,2930,3910
W049,Claystone,0,626
W049,Sandstone,626,2009
W049,Shale,2009,2921
W049,Limestone,2921,3870
W050,Claystone,0,541
W050,Sandstone,541,1656
W050,Shale,1656,2425
W050,Limestone,2425,3240
W051,Claystone,0,689
W051,Sandstone,689,1954
W051,Shale,1954,2856
W051,Limestone,2856,3840
W052,Claystone,0,556
W052,Sandstone,556,1648
W052,Shale,1648,2433
W052,Limestone,2433,3250
W053,Claystone,0,517
W053,Sandstone,517,1670
W053,Shale,1670,2352
W053,Limestone,2352,3220
W054,Claystone,0,708
W054,Sandstone,708,2014
W054,Shale,2014,2880
W054,Limestone,2880,3910
W055,Claystone,0,636
W055,Sandstone,636,2052
W055,Shale,2052,2921
W055,Limestone,2921,3910
W056,Claystone,0,636
W056,Sandstone,636,1788
W056,Shale,1788,2557
W056,Limestone,2557,3490
W057,Sandstone,0,1649
W057,Shale,1649,2352
W057,Limestone,2352,3160
W058,Claystone,0,635
W058,Sandstone,635,1737
W058,Shale,1737,2534
W058,Limestone,2534,3410
W059,Claystone,0,639
W059,Sandstone,639,1800
W059,Shale,1800,2578
W059,Limestone,2578,3470
W060,Sandstone,0,1727
W060,Shale,1727,2511
W060,Limestone,2511,3430
W061,Claystone,0,551
W061,Sandstone,551,1648
W061,Shale,1648,2336
W061,Limestone,2336,3180
W062,Sandstone,0,1812
W062,Shale,1812,2609
W062,Limestone,2609,3510
W063,Claystone,0,612
W063,Sandstone,612,1808
W063,Shale,1808,2584
W063,Limestone,2584,3450
W064,Sandstone,0,1723
W064,Shale,1723,2499
W064,Limestone,2499,3410
W065,Claystone,0,643
W065,Sandstone,643,1858
W065,Shale,1858,2708
W065,Limestone,2708,3660
W066,Claystone,0,642
W066,Sandstone,642,1862
W066,Shale,1862,2676
W066,Limestone,2676,3610
W067,Claystone,0,593
W067,Sandstone,593,1705
W067,Shale,1705,2473
W067,Limestone,2473,3280
W068,Sandstone,0,1997
W068,Shale,1997,2826
W068,Limestone,2826,3870
W069,Shale,0,1495
W069,Limestone,1495,2692
W069,Sandstone,2692,3060
W070,Claystone,0,487
W070,Shale,487,1683
W070,Limestone,1683,3070
W070,Sandstone,3070,3490
W071,Shale,0,1705
W071,Limestone,1705,3211
W071,Sandstone,3211,3630
W072,Claystone,0,513
W072,Shale,513,1549
W072,Limestone,1549,2735
W072,Sandstone,2735,3110
W073,Shale,0,1679
W073,Limestone,1679,3018
W073,Sandstone,3018,3430
W074,Claystone,0,487
W074,Shale,487,1637
W074,Limestone,1637,2867
W074,Sandstone,2867,3280
W075,Shale,0,1453
W075,Limestone,1453,2561
W075,Sandstone,2561,2910
W076,Claystone,0,526
W076,Shale,526,1606
W076,Limestone,1606,2828
