well_id,well_name,latitude,longitude,field,total_depth_m,primary_formation,well_status,spud_date,well_role
W001,SYN-Assam-Duliajan-001,27.371219,95.331752,SYN-Assam-Duliajan,3470,Sandstone,Completed,2020-12-09,Historical
W002,SYN-Assam-Duliajan-002,27.389232,95.288712,SYN-Assam-Duliajan,3450,Sandstone,Abandoned,2016-02-12,Historical
W003,SYN-Assam-Duliajan-003,27.329164,95.33038,SYN-Assam-Duliajan,3850,Sandstone,Drilled,2018-12-10,Historical
W004,SYN-Assam-Duliajan-004,27.4125,95.349472,SYN-Assam-Duliajan,3590,Sandstone,Drilled,2008-10-28,Historical
W005,SYN-Assam-Duliajan-005,27.355745,95.261269,SYN-Assam-Duliajan,3560,Sandstone,Completed,2020-11-28,Historical
W006,SYN-Assam-Duliajan-006,27.342534,95.381181,SYN-Assam-Duliajan,3960,Sandstone,Abandoned,2019-09-11,Historical
W007,SYN-Assam-Duliajan-007,27.431355,95.2949,SYN-Assam-Duliajan,3400,Sandstone,Completed,2021-06-19,Historical
W008,SYN-Assam-Duliajan-008,27.307921,95.286728,SYN-Assam-Duliajan,3690,Sandstone,Drilled,2018-03-24,Historical
W009,SYN-Assam-Duliajan-009,27.396274,95.396813,SYN-Assam-Duliajan,3180,Sandstone,Completed,2009-12-17,Historical
W010,SYN-Assam-Duliajan-010,27.394437,95.238471,SYN-Assam-Duliajan,3260,Sandstone,Abandoned,2017-02-26,Historical
W011,SYN-Assam-Duliajan-011,27.299492,95.36233,SYN-Assam-Duliajan,3620,Sandstone,Completed,2021-12-09,Historical
W012,SYN-Assam-Duliajan-012,27.452397,95.342005,SYN-Assam-Duliajan,3580,Sandstone,Drilled,2017-03-21,Historical
W013,SYN-Assam-Duliajan-013,27.319259,95.240991,SYN-Assam-Duliajan,3320,Sandstone,Abandoned,2011-10-08,Historical
W014,SYN-Assam-Duliajan-014,27.362378,95.42113,SYN-Assam-Duliajan,3360,Sandstone,Drilled,2011-12-15,Historical
W015,SYN-Assam-Duliajan-015,27.440286,95.249621,SYN-Assam-Duliajan,3230,Sandstone,Completed,2020-08-11,Historical
W016,SYN-Assam-Duliajan-016,27.274098,95.317975,SYN-Assam-Duliajan,3930,Sandstone,Abandoned,2014-06-23,Historical
W017,SYN-Assam-Duliajan-017,27.435852,95.401973,SYN-Assam-Duliajan,3220,Sandstone,Completed,2020-09-03,Historical
W018,SYN-Assam-Duliajan-018,27.364002,95.206082,SYN-Assam-Duliajan,3890,Sandstone,Completed,2016-10-01,Historical
W019,SYN-Assam-Duliajan-019,27.307765,95.413805,SYN-Assam-Duliajan,3840,Sandstone,Completed,2016-11-17,Historical
W020,SYN-Assam-Duliajan-020,27.476901,95.313637,SYN-Assam-Duliajan,3500,Sandstone,Completed,2008-09-15,Historical
W021,SYN-Assam-Duliajan-021,27.279044,95.251167,SYN-Assam-Duliajan,3590,Sandstone,Completed,2010-06-12,Historical
W022,SYN-Assam-Duliajan-022,27.390401,95.443218,SYN-Assam-Duliajan,3850,Sandstone,Abandoned,2018-01-15,Historical
W023,SYN-Assam-Duliajan-023,27.427893,95.208026,SYN-Assam-Duliajan,3880,Sandstone,Completed,2021-11-23,Historical
W024,SYN-Assam-Duliajan-024,27.259089,95.36186,SYN-Assam-Duliajan,3960,Sandstone,Completed,2011-05-19,Historical
W025,SYN-Assam-Duliajan-025,27.476452,95.376843,SYN-Assam-Duliajan,3500,Sandstone,Completed,2023-12-12,Historical
W026,SYN-Assam-Duliajan-026,27.321372,95.194159,SYN-Assam-Duliajan,3440,Sandstone,Completed,2022-12-15,Historical
W027,SYN-Assam-Duliajan-027,27.325743,95.448605,SYN-Assam-Duliajan,3890,Sandstone,Completed,2009-11-28,Historical
W028,SYN-Assam-Duliajan-028,27.481117,95.252403,SYN-Assam-Duliajan,3400,Sandstone,Completed,2023-08-06,Historical
W029,SYN-Assam-Duliajan-029,27.249009,95.278676,SYN-Assam-Duliajan,3380,Sandstone,Completed,2011-12-24,Historical
W030,SYN-Assam-Duliajan-030,27.437904,95.443836,SYN-Assam-Duliajan,3230,Sandstone,Completed,2011-05-07,Historical
W031,SYN-Assam-Nazira-001,26.920443,94.742604,SYN-Assam-Nazira,4020,Sandstone,Abandoned,2022-07-04,Historical
W032,SYN-Assam-Nazira-002,26.940291,94.700656,SYN-Assam-Nazira,3790,Sandstone,Drilled,2019-10-24,Historical
W033,SYN-Assam-Nazira-003,26.877736,94.738637,SYN-Assam-Nazira,3950,Sandstone,Drilled,2021-09-27,Historical
W034,SYN-Assam-Nazira-004,26.960459,94.759222,SYN-Assam-Nazira,3560,Sandstone,Completed,2011-05-09,Historical
W035,SYN-Assam-Nazira-005,26.904427,94.671988,SYN-Assam-Nazira,3840,Sandstone,Completed,2008-06-27,Historical
W036,SYN-Assam-Nazira-006,26.89563,94.79158,SYN-Assam-Nazira,3220,Sandstone,Completed,2009-06-11,Historical
W037,SYN-Assam-Nazira-007,26.982244,94.708178,SYN-Assam-Nazira,3480,Sandstone,Drilled,2022-02-06,Historical
W038,SYN-Assam-Nazira-008,26.854324,94.704016,SYN-Assam-Nazira,3240,Sandstone,Abandoned,2023-08-26,Historical
W039,SYN-Assam-Nazira-009,26.952483,94.803871,SYN-Assam-Nazira,3220,Sandstone,Completed,2017-11-07,Historical
W040,SYN-Assam-Nazira-010,26.948674,94.649151,SYN-Assam-Nazira,3320,Sandstone,Completed,2012-09-04,Historical
W041,SYN-Assam-Nazira-011,26.847616,94.7721,SYN-Assam-Nazira,3390,Sandstone,Completed,2009-03-08,Historical
W042,SYN-Assam-Nazira-012,27.001246,94.755515,SYN-Assam-Nazira,3250,Sandstone,Abandoned,2014-12-03,Historical
W043,SYN-Assam-Nazira-013,26.870083,94.64971,SYN-Assam-Nazira,3850,Sandstone,Drilled,2021-02-16,Historical
W044,SYN-Assam-Nazira-014,26.908067,94.831188,SYN-Assam-Nazira,3280,Sandstone,Completed,2019-01-11,Historical
W045,SYN-Rajasthan-Barmer-001,25.750558,71.411931,SYN-Rajasthan-Barmer,3440,Limestone,Completed,2016-12-28,Historical
W046,SYN-Rajasthan-Barmer-002,25.771795,71.373425,SYN-Rajasthan-Barmer,3160,Limestone,Drilled,2017-08-21,Historical
